feature,coefficient,abs_coefficient
cat__rndrng_prvdr_type_Nurse Practitioner,-0.005802403792427758,0.005802403792427758
num__bh_condition_pct_mean_specialty_year_median,0.005710384808938284,0.005710384808938284
num__flag_spike_ph_condition_pct_mean_gt2x_lag1,-0.005650407192779649,0.005650407192779649
num__bene_dual_cnt,0.00564786466552256,0.00564786466552256
num__flag_top5pct_sbmtd_to_pymt_ratio_within_specialty_year,0.005599114029121067,0.005599114029121067
num__ph_condition_pct_mean_minus_specialty_year_median,0.005495583764297256,0.005495583764297256
num__tot_sbmtd_chrg_specialty_year_median,-0.005290090933971894,0.005290090933971894
num__tot_srvcs_yoy_pct_change,-0.005168503937051651,0.005168503937051651
num__sbmtd_chrg_per_bene_minus_specialty_year_median,0.004685273367346699,0.004685273367346699
num__sbmtd_to_pymt_ratio_minus_specialty_year_median,-0.0042323790492606985,0.0042323790492606985
cat__rndrng_prvdr_type_Optometry,-0.004178388904849673,0.004178388904849673
num__log1p_tot_mdcr_alowd_amt,-0.004100260901499947,0.004100260901499947
cat__rndrng_prvdr_type_General Practice,0.004058298264813263,0.004058298264813263
num__bene_avg_risk_scre_yoy_abs_change,0.003974106452987661,0.003974106452987661
cat__rndrng_prvdr_type_Psychiatry,0.003669745548668709,0.003669745548668709
num__tot_srvcs_minus_specialty_year_median,-0.0036065812178618945,0.0036065812178618945
num__tot_srvcs,-0.0034964358579023273,0.0034964358579023273
cat__rndrng_prvdr_type_Mass Immunizer Roster Biller,-0.003402123299099834,0.003402123299099834
cat__rndrng_prvdr_type_Certified Registered Nurse Anesthetist (CRNA),-0.0033712142869329197,0.0033712142869329197
cat__rndrng_prvdr_type_Podiatry,0.0032870629665442508,0.0032870629665442508
num__med_sbmtd_chrg,-0.0032823833771106446,0.0032823833771106446
num__bene_avg_risk_scre_specialty_year_pct_rank,-0.002989046263084761,0.002989046263084761
cat__rndrng_prvdr_type_Chiropractic,0.0029628575260168596,0.0029628575260168596
num__bene_age_gt_84_share,0.002784727724785026,0.002784727724785026
num__bene_cc_ph_parkinson_v2_pct,-0.002772137338047831,0.002772137338047831
num__tot_benes_lag1,-0.0026749997187499206,0.0026749997187499206
cat__rndrng_prvdr_type_Pain Management,0.0026130565190785352,0.0026130565190785352
num__bene_race_api_cnt,-0.0024798808514805626,0.0024798808514805626
num__drug_tot_benes,0.002477092476109336,0.002477092476109336
cat__rndrng_prvdr_type_Physical Medicine and Rehabilitation,0.002149496623475451,0.002149496623475451
cat__rndrng_prvdr_type_Hospitalist,-0.0021473118463162756,0.0021473118463162756
num__tot_srvcs_specialty_year_median,0.0020125427251496916,0.0020125427251496916
num__tot_benes_specialty_year_median,-0.001913862171622667,0.001913862171622667
num__bene_cc_ph_ischemicheart_v2_pct,0.0018444445127900164,0.0018444445127900164
cat__rndrng_prvdr_type_Cardiology,0.0017630960201917003,0.0017630960201917003
cat__rndrng_prvdr_type_Ophthalmology,-0.0016924925407860684,0.0016924925407860684
cat__rndrng_prvdr_type_Pathology,-0.001650581632138479,0.001650581632138479
num__bene_cc_ph_hyperlipidemia_v2_pct,-0.00162566031344757,0.00162566031344757
cat__rndrng_prvdr_type_Anesthesiology,0.0016106143575426277,0.0016106143575426277
cat__rndrng_prvdr_type_General Surgery,-0.0015930642861671641,0.0015930642861671641
cat__rndrng_prvdr_type_Licensed Clinical Social Worker,-0.0015076010657430808,0.0015076010657430808
num__tot_mdcr_alowd_amt,0.0015048320933894635,0.0015048320933894635
cat__rndrng_prvdr_type_Interventional Pain Management,0.0013986040445979266,0.0013986040445979266
num__tot_mdcr_alowd_amt_minus_specialty_year_median,0.001375675008783774,0.001375675008783774
num__flag_top1pct_bene_avg_risk_scre_within_specialty_year,-0.001319855380215148,0.001319855380215148
"cat__rndrng_prvdr_type_Psychologist, Clinical",-0.001189509403552983,0.001189509403552983
cat__rndrng_prvdr_type_Occupational Therapist in Private Practice,-0.001164155621601152,0.001164155621601152
cat__rndrng_prvdr_type_Centralized Flu,-0.0011578901930278667,0.0011578901930278667
cat__rndrng_prvdr_type_Dermatology,-0.0011437735409204235,0.0011437735409204235
cat__rndrng_prvdr_type_Orthopedic Surgery,-0.0010179220457347054,0.0010179220457347054
num__bene_race_black_share,0.0010156288698863446,0.0010156288698863446
